"frequency_hz","input_real","input_imag","input_mag","input_phase_rad","output_real","output_imag","output_mag","output_phase_rad","h_real","h_imag","h_mag","h_phase_rad"
"84900","2041034.125","-943407.25","4391.639","-0.433","-614520.938","-355725.062","1386.824","-2.617","-0.181703742543819","-0.258273824827879","0.315787299690238","-2.18388842051903"
"85100","-1077458.625","1967511.625","4381.282","2.072","-662645.188","-257251.234","1388.336","-2.771","0.0413011111946818","0.314176008754818","0.316879071986496","1.44008731651053"
"85300","2231742.75","-297663.438","4397.473","-0.133","188414.922","685314.625","1388.171","1.302","0.0427083455434453","0.312772311219899","0.315674708275617","1.43508789554015"
"85500","1198589.125","1908351.75","4401.437","1.01","297917.906","-640867.5","1380.331","-1.136","-0.170509540764718","-0.263205558026362","0.313609102654505","-2.14563674769852"
"85700","-1905072.25","-1198793.25","4396.226","-2.58","303153.031","-635650.562","1375.468","-1.126","0.0364134246629118","0.310748526364141","0.312874709960979","1.45414856801946"
"85900","992262.188","-2014736.625","4386.385","-1.113","668575.062","239969.516","1387.376","0.345","0.0356731510028154","0.314273307625552","0.316291456711013","1.45777013780506"
"86100","1461470.75","1716617.25","4403.278","0.866","-482598","507421.594","1367.714","2.331","0.0326099766819623","0.308896189339161","0.310612727310799","1.46561653952175"
"86300","2095351.875","-832138.25","4403.399","-0.378","327480.312","620754.562","1370.781","1.085","0.0333728941840774","0.309506690261164","0.311300724995368","1.46338523105836"
"86500","1074523.5","1976848.375","4394.544","1.073","368500.938","-593127.688","1363.826","-1.015","-0.153393767586694","-0.269786065927004","0.310345242114022","-2.08778907760453"
"86700","1001311.062","2020642.25","4404.554","1.111","403537.812","-573422.062","1369.495","-0.958","-0.148381933167772","-0.273237028020094","0.310927116173322","-2.06828958790577"
"86900","1022770.25","2007138","4399.807","1.1","-585631.875","364987.656","1347.77","2.584","0.0263295834066521","0.305191267169082","0.306324919845967","1.4847370146534"
"87100","-731929.688","2132838.75","4404.166","1.901","-670428.062","-175295.969","1353.45","-2.886","0.0229763126106608","0.306451210472188","0.307311332919976","1.49596090737513"
